title,location,price,area,no_rooms,interior,year
ApartmentVolewijkshof4,1031AHAmsterdam(Volewijck),"€1,550permonth",100m²,3rooms,,2016
ApartmentEersteWeteringdwarsstraat,1017TMAmsterdam(DeWeteringschans),"€1,750permonth",46m²,2rooms,Upholstered,
ApartmentRoerstraat,1078LLAmsterdam(Scheldebuurt),"€1,975permonth",77m²,3rooms,,1931
ApartmentZocherstraat,1054LRAmsterdam(OvertoomseSluis),"€2,500permonth",80m²,3rooms,Upholstered,
ApartmentGeervliet33,1082NLAmsterdam(Buitenveldert-Oost),"€1,750permonth",75m²,2rooms,Furnished,
ApartmentStadhouderskade128I,1074AVAmsterdam(OudePijp),"€2,350permonth",75m²,3rooms,Upholstered,
ApartmentZeeburgerdijk,1093SKAmsterdam(Dapperbuurt),"€1,850permonth",70m²,2rooms,Furnished,
ApartmentPrinsengracht475I,1016HPAmsterdam(Grachtengordel-West),"€2,750permonth",80m²,2rooms,Upholsteredorfurnished,
ApartmentVijzelgracht333,1017HNAmsterdam(DeWeteringschans),"€2,450permonth",93m²,3rooms,,Before1906
ApartmentGovertFlinckstraat,1073BSAmsterdam(OudePijp),"€2,850permonth",86m²,4rooms,Upholstered,
ApartmentLodewijkBoisotstraat21,1057ZMAmsterdam(Chassébuurt),"€2,350permonth",85m²,3rooms,Upholstered,
ApartmentJanvanRiebeekstraat102,1057ZXAmsterdam(Chassébuurt),"€1,950permonth",60m²,3rooms,Furnished,
ApartmentJohannesVerhulststraat187H,1075GZAmsterdam(Willemspark),"€7,000permonth",232m²,7rooms,,
ApartmentVanBreestraat73I,1071ZHAmsterdam(Museumkwartier),"€2,450permonth",68m²,3rooms,,1899
ApartmentParadijsplein,1093NJAmsterdam(Dapperbuurt),"€2,350permonth",64m²,2rooms,Upholsteredorfurnished,
ApartmentTuinstraat302,1015PEAmsterdam(Jordaan),"€2,750permonth",111m²,3rooms,Furnished,
ApartmentJacobvanLennepstraat,1053KBAmsterdam(VanLennepbuurt),"€1,595permonth",50m²,2rooms,Furnished,
ApartmentPrinsengracht6692,1017JTAmsterdam(Grachtengordel-Zuid),"€2,500permonth",55m²,2rooms,Upholstered,
ApartmentMarathonweg153,1076SXAmsterdam(Stadionbuurt),"€1,750permonth",43m²,2rooms,Furnished,
HouseAmstel49,1011PWAmsterdam(Nieuwmarkt/Lastage),"€4,950permonth",125m²,4rooms,Upholsteredorfurnished,
HouseLaagteKadijk55,1018BBAmsterdam(OostelijkeEilanden/Kadijken),"€2,250permonth",87m²,3rooms,,2010
HouseSassenheimstraat402,1059BJAmsterdam(Hoofddorppleinbuurt),"€1,800permonth",56m²,2rooms,Furnished,
ApartmentValkenburgerstraat136F,1011NAAmsterdam(Nieuwmarkt/Lastage),"€2,750permonth",95m²,3rooms,Furnished,
ApartmentJoanMelchiorKemperstraat1082,1051TWAmsterdam(Staatsliedenbuurt),"€1,850permonth",47m²,2rooms,Furnished,
ApartmentHaarlemmerdijk100D,1013JGAmsterdam(Haarlemmerbuurt),"€2,500permonth",100m²,3rooms,Furnished,
ApartmentDerdeHelmersstraat41A,1054BBAmsterdam(Helmersbuurt),"€2,450permonth",65m²,3rooms,Furnished,
ApartmentKuipersstraat,1073EVAmsterdam(NieuwePijp),"€1,600permonth",45m²,3rooms,,1906-1930
ApartmentJasperLeijnsenstraat233,1056XWAmsterdam(Landlust),"€1,650permonth",53m²,3rooms,,1931-1944
ApartmentDostojevskisingel,"1102XMAmsterdam(BijlmerCentrum(D,F,H))","€1,250permonth",45m²,2rooms,,1984
ApartmentOrteliuskade,1057AEAmsterdam(Hoofdwege.o.),"€1,850permonth",54m²,3rooms,Upholstered,
ApartmentNicolaasMaesstraat77II-III,1071PSAmsterdam(Museumkwartier),"€5,750permonth",185m²,6rooms,Furnished,
ApartmentSingel,1015ACAmsterdam(Grachtengordel-West),"€2,500permonth",82m²,3rooms,Upholstered,
ApartmentLijnbaansgracht,1016KTAmsterdam(Jordaan),"€1,950permonth",44m²,2rooms,,Before1906
ApartmentBadhuiskade75,1031KVAmsterdam(NoordelijkeIJ-oeversWest),"€2,450permonth",87m²,2rooms,Upholstered,
HouseNederhoven,1083AMAmsterdam(Buitenveldert-Oost),"€8,500permonth",336m²,11rooms,,
ApartmentJanvanZutphenstraat,1069RSAmsterdam(Osdorp-Midden),"€2,500permonth",118m²,1room,,
ApartmentEgelantiersstraat,1015PPAmsterdam(Jordaan),"€2,200permonth",80m²,3rooms,Upholstered,
ApartmentVechtstraat,1079JVAmsterdam(Rijnbuurt),"€1,800permonth",62m²,3rooms,Upholstered,
ApartmentSpuistraat105B,1012SVAmsterdam(Burgwallen-NieuweZijde),"€2,300permonth",66m²,2rooms,Upholsteredorfurnished,
ApartmentHerengracht,1016BEAmsterdam(Grachtengordel-West),"€3,750permonth",104m²,1room,Furnished,
ApartmentNoorderstraat,1017TRAmsterdam(DeWeteringschans),"€2,500permonth",100m²,3rooms,Furnished,
ApartmentReguliersgracht78B,1017LVAmsterdam(Grachtengordel-Zuid),"€5,500permonth",141m²,4rooms,,1850
ApartmentJanLievensstraat,1074TTAmsterdam(ZuidPijp),"€1,975permonth",56m²,2rooms,Furnished,
ApartmentTransvaalkade,1092JKAmsterdam(Transvaalbuurt),"€1,850permonth",60m²,3rooms,Furnished,
ApartmentRustenburgerstraat146A11,1073GJAmsterdam(NieuwePijp),"€2,075permonth",55m²,2rooms,Furnished,
ApartmentDeWittenkade294,1052ABAmsterdam(Staatsliedenbuurt),"€1,750permonth",70m²,2rooms,Shell,
ApartmentNieuwezijdsVoorburgwal,1012RTAmsterdam(Burgwallen-NieuweZijde),"€5,000permonth",150m²,3rooms,Furnished,
ApartmentSintWillibrordusstraat109A,1073VBAmsterdam(NieuwePijp),"€2,900permonth",100m²,4rooms,Upholstered,
ApartmentBanneBuikslootlaan,1034ABAmsterdam(BanneBuiksloot),"€1,750permonth",72m²,3rooms,,2014
ApartmentWestzaanstraat45III,1013NEAmsterdam(Spaarndammer-enZeeheldenbuurt),"€2,100permonth",93m²,4rooms,Upholstered,
ApartmentEersteHelmersstraat413,1054DAAmsterdam(Helmersbuurt),"€2,750permonth",100m²,3rooms,Upholstered,
