title,price,area,volume,type,year,no_rooms,no_bed,no_bath,no_floor,balcony,garden,interior
For rent: Apartment Hendrik de Keyserstraat in Rotterdam,"€1,250 per month",66 m²,nan,Apartment,nan,2,1,1,nan,Not present,Present,Upholstered
For rent: Apartment Albert Cuypstraat 31 1 in Amsterdam,"€1,950 per month",50 m²,153 m³,Apartment,1890,2,1,1,1,Present,Not present,Upholstered or furnished
For rent: Apartment Eerste Helmersstraat in Amsterdam,"€2,950 per month",70 m²,160 m³,Apartment,1897,5,2,1,3,Present,Not present,Furnished
For rent: Apartment Nassaulaan in Delft,"€1,500 per month",88 m²,nan,Apartment,nan,2,1,1,nan,Not present,Present (20 m²),Furnished
For rent: Apartment Berthold Brechtstraat 833 in Amsterdam,"€1,850 per month",75 m²,225 m³,Apartment,1981,3,2,1,1,Present,Present,nan
For rent: Apartment Lauwerszeeweg in Eindhoven,"€1,375 per month",90 m²,nan,Apartment,nan,3,2,nan,1,Present,Not present,Furnished
For rent: Room Reinevaarstraat 7 in Tilburg,€650 per month,25 m²,nan,Room,nan,1,nan,nan,nan,nan,nan,Upholstered
For rent: Apartment Soestdijkseweg Zuid in De Bilt,€995 per month,54 m²,140 m³,Apartment,1954,2,1,1,1,Not present,Not present,Upholstered
For rent: Apartment Zangvogelweg in Amersfoort,"€1,000 per month",85 m²,nan,Apartment,nan,3,2,1,nan,Present,Not present,Furnished
For rent: House Bentelosestraat 4 in Hengevelde,"€1,150 per month",130 m²,500 m³,House,1932,6,3,1,3,Not present,"Present (216 m², located on the south)",nan
For rent: Apartment Moddermanstraat in Leiden,"€1,475 per month",85 m²,nan,Apartment,nan,4,3,1,nan,Present,Not present,Furnished
For rent: Apartment Rembrandtweg 330 in Amstelveen,"€1,850 per month",63 m²,197 m³,Apartment,1959,3,2,1,1,Present,Not present,Furnished
For rent: House Herenstraat in Leiden,"€1,800 per month",87 m²,nan,House,nan,4,3,1,nan,Present,Present (located on the west),Upholstered
For rent: Apartment Meerburgerkade in Leiden,"€1,150 per month",66 m²,nan,Apartment,nan,3,2,1,nan,Not present,Not present,Furnished
For rent: Apartment Halsterseweg in Bergen op Zoom,"€1,038 per month",70 m²,nan,Apartment,nan,2,1,1,nan,nan,Present (24 m²),Upholstered
For rent: Apartment Warmoesstraat 12 G in Amsterdam,"€2,250 per month",72 m²,210 m³,Apartment,2001-2010,2,1,1,1,Present,nan,Upholstered or furnished
For rent: Studio Frans Bekkerstraat in Rotterdam,€695 per month,30 m²,nan,Studio,nan,1,1,1,nan,Present,Not present,Upholstered
For rent: Apartment Haagdijk in Breda,€975 per month,40 m²,95 m³,Apartment,1905,2,1,nan,1,nan,Not present,Upholstered
For rent: House Heemafstraat 14 in Hengelo,"€2,250 per month",215 m²,500 m³,House,1882,7,4,3,1,nan,Present,Furnished
For rent: Apartment Willem van Weldammelaan in Amsterdam,"€2,150 per month",85 m²,nan,Apartment,nan,3,2,1,nan,Present,nan,Furnished
For rent: House Wilgendreef in Voorburg,"€1,500 per month",130 m²,390 m³,House,1973,7,4,1,3,Not present,Present (30 m²),Upholstered
For rent: Apartment Beursstraat 33 G in Amsterdam,"€2,500 per month",60 m²,125 m³,Apartment,2001-2010,3,2,2,1,Not present,nan,Upholstered or furnished
For rent: Apartment Warmoesstraat 12 C in Amsterdam,"€2,150 per month",74 m²,182 m³,Apartment,Before 1906,2,1,1,1,Not present,nan,Upholstered or furnished
For rent: Apartment Roemer Visscherstraat 11 A in Amsterdam,"€3,250 per month",109 m²,300 m³,Apartment,1906-1930,3,2,2,1,Not present,Present,Upholstered or furnished
For rent: Apartment Warmoesstraat 98 F in Amsterdam,"€2,450 per month",65 m²,180 m³,Apartment,Before 1906,2,1,1,1,Not present,nan,Upholstered or furnished
For rent: Apartment Brugsteeg in Utrecht,"€1,375 per month",55 m²,165 m³,Apartment,2009,2,1,1,2,nan,Not present,Upholstered
For rent: Room Narmstraat in Leiden,€475 per month,15 m²,nan,Room,nan,1,nan,nan,nan,nan,nan,Upholstered
For rent: Apartment Dufaystraat in Amsterdam,"€3,250 per month",120 m²,360 m³,Apartment,1910,6,3,1,3,Present,Present,Upholstered
For rent: Apartment Bloemgracht in Amsterdam,"€4,750 per month",132 m²,330 m³,Apartment,1900,4,3,2,1,nan,Present,Furnished
For rent: House Jacob Catsstraat 24 in Almere,"€1,850 per month",117 m²,400 m³,House,2000,5,4,1,3,Not present,Present,Upholstered
For rent: Apartment Veldhovenring in Tilburg,€700 per month,40 m²,nan,Apartment,nan,2,1,nan,nan,nan,nan,Upholstered
For rent: Apartment Lichttoren in Eindhoven,"€1,675 per month",80 m²,220 m³,Apartment,1921,2,1,1,2,nan,Present,Furnished
For rent: Apartment Albert Cuypstraat 31 1 in Amsterdam,"€1,950 per month",50 m²,153 m³,Apartment,1890,2,1,1,1,Present,Not present,Upholstered or furnished
For rent: Apartment Straatweg in Rotterdam,"€1,595 per month",70 m²,150 m³,Apartment,1914,2,1,nan,1,nan,Not present,Furnished
For rent: House Rosmolenstraat in Zaandam,"€1,400 per month",95 m²,nan,House,nan,4,3,1,nan,Not present,Present,Furnished
For rent: Apartment Flamingostraat in Utrecht,"€1,395 per month",58 m²,151 m³,Apartment,1931,3,1,1,1,Not present,"Present (18 m², located on the north)",Furnished
For rent: Apartment Branderijstraat in Den Bosch,"€1,540 per month",128 m²,332 m³,Apartment,2022,3,2,nan,1,nan,Not present,nan
For rent: Apartment Branderijstraat in Den Bosch,"€1,600 per month",128 m²,332 m³,Apartment,2022,3,2,nan,1,nan,Not present,nan
For rent: Apartment Rodenrijsestraat in Rotterdam,"€1,265 per month",67 m²,167 m³,Apartment,1912,2,1,1,1,nan,Not present,Upholstered
For rent: Apartment Colognekaai in Bergen op Zoom,"€1,295 per month",81 m²,nan,Apartment,2022,3,2,1,nan,Present,Not present,Upholstered
For rent: Apartment De Lairessestraat 172 F in Amsterdam,"€3,250 per month",100 m²,280 m³,Apartment,1923,3,2,1,1,Present,Not present,nan
For rent: Apartment Dijk van Bommenede in Zonnemaire,€850 per month,45 m²,nan,Apartment,nan,2,1,1,1,nan,Present,Furnished
For rent: Apartment Achterweg in Zonnemaire,"€1,100 per month",60 m²,nan,Apartment,nan,2,1,1,1,nan,Not present,Furnished
For rent: Apartment Dijk van Bommenede in Zonnemaire,€750 per month,36 m²,nan,Apartment,nan,2,1,1,1,nan,Present,Furnished
For rent: Apartment Anubisstraat in Almere,"€1,350 per month",68 m²,nan,Apartment,nan,3,2,1,nan,Present,nan,Upholstered
For rent: Apartment Allerheiligenweg in Breda,"€1,450 per month",76 m²,nan,Apartment,1962,4,3,1,nan,Present,nan,Furnished
For rent: Apartment Stadsring in Amersfoort,€739 per month,34 m²,nan,Apartment,nan,1,1,nan,nan,Not present,Not present,Upholstered
For rent: Studio Goudesteijn in IJsselstein,€915 per month,40 m²,nan,Studio,1991,1,1,1,nan,nan,nan,Furnished
For rent: Apartment Nassaustraat 1 A in Venlo,Price on request,80 m²,200 m³,Apartment,1979,3,2,1,nan,Not present,Not present,Furnished
For rent: House Attleestraat in Rotterdam,"€1,600 per month",112 m²,nan,House,nan,4,3,1,nan,Not present,Not present,Upholstered
For rent: Apartment Galileïstraat in Den Haag,€925 per month,49 m²,nan,Apartment,nan,1,nan,1,nan,nan,nan,Upholstered
For rent: Apartment Copernicuslaan in Den Haag,€900 per month,42 m²,nan,Apartment,nan,1,nan,1,nan,nan,nan,Upholstered
For rent: Apartment Van Eeghenlaan 12 1 in Amsterdam,"€4,500 per month",140 m²,448 m³,Apartment,1906-1930,3,2,2,2,Present,Not present,nan
For rent: House Nepveulaan 6 B in Zeist,"€2,000 per month",131 m²,390 m³,House,2013,3,2,1,1,Not present,Present,Furnished
For rent: Apartment Ruyschstraat in Amsterdam,"€1,850 per month",64 m²,194 m³,Apartment,1900,3,2,1,1,Present,Not present,Upholstered or furnished
For rent: Apartment Oostduinlaan in Den Haag,"€2,500 per month",115 m²,115 m³,Apartment,1900,3,2,nan,1,Present,Present,Furnished
For rent: Apartment Alidasteeg 2 in Sneek,€750 per month,70 m²,160 m³,Apartment,1990,3,1,1,1,nan,Not present,nan
For rent: Apartment Hattemlaan in Den Haag,"€1,250 per month",42 m²,126 m³,Apartment,1980,2,1,1,1,Present,nan,nan
For rent: Apartment Van Eeghenstraat 58 II in Amsterdam,"€3,250 per month",71 m²,180 m³,Apartment,1906-1930,2,1,1,1,Not present,nan,Upholstered or furnished
For rent: Apartment Koningskers 116 in Arnhem,"€1,155 per month",73 m²,225 m³,Apartment,2008,3,2,1,1,Not present,nan,Upholstered
For rent: House Ambachtstraat in Haarlem,"€2,250 per month",150 m²,nan,House,nan,4,3,1,nan,Not present,Not present,Furnished
For rent: Studio Koewegje in Zwolle,€625 per month,27 m²,nan,Studio,nan,2,nan,1,nan,nan,nan,Furnished
For rent: Apartment Kruidenhof in Diemen,"€1,575 per month",68 m²,204 m³,Apartment,1982,2,1,nan,1,Present,Not present,Furnished
For rent: Apartment De Genestetstraat in Amsterdam,"€2,900 per month",95 m²,238 m³,Apartment,2020,3,2,1,1,nan,Not present,Furnished
For rent: House Winkeldijk 19 AR88 in Vinkeveen,"€1,300 per month",70 m²,nan,House,nan,3,2,1,nan,Not present,Present,Furnished
For rent: Apartment Hendrik de Keyserstraat in Rotterdam,"€1,250 per month",66 m²,nan,Apartment,nan,2,1,1,nan,Not present,Present,Upholstered
For rent: Apartment De Genestetstraat in Amsterdam,"€2,900 per month",95 m²,234 m³,Apartment,2011,3,2,1,1,nan,Not present,Furnished
For rent: Apartment Twentsestraat in Deventer,"€1,025 per month",80 m²,nan,Apartment,nan,3,3,nan,nan,Present,Not present,Shell
For rent: Room Nieuw-Amsterdamlaan 29 in Utrecht,€550 per month,12 m²,nan,Room,nan,1,nan,nan,nan,nan,nan,Upholstered
For rent: Apartment Mariniersweg in Rotterdam,"€1,750 per month",64 m²,nan,Apartment,nan,3,2,1,nan,Not present,Not present,Furnished
For rent: House Dorpsweg 129 hs4 in Schellinkhout,"€1,600 per month",71 m²,320 m³,House,2000,3,2,1,2,Not present,Present,Upholstered
For rent: Apartment Neuweg in Hilversum,"€1,050 per month",43 m²,120 m³,Apartment,1932,2,1,1,1,Present,Not present,Upholstered
For rent: House Jan Tooropplantsoen 1 in Amstelveen,"€2,750 per month",150 m²,350 m³,House,1931,5,4,1,2,Not present,"Present (25 m², located on the east)",Upholstered
For rent: Apartment Nieuwstraat in Maastricht,"€1,700 per month",57 m²,nan,Apartment,nan,2,1,nan,nan,nan,Not present,Upholstered
For rent: Apartment Nieuwstraat in Maastricht,"€1,800 per month",72 m²,nan,Apartment,nan,3,2,nan,nan,nan,Not present,Upholstered
For rent: Apartment Nieuwstraat in Maastricht,"€1,700 per month",55 m²,nan,Apartment,nan,2,1,nan,nan,nan,Not present,Upholstered
For rent: Apartment Minckelersstraat in Maastricht,"€1,900 per month",103 m²,nan,Apartment,nan,6,1,nan,nan,nan,Not present,Furnished
For rent: Apartment Pieter Baststraat in Amsterdam,"€2,500 per month",72 m²,710 m³,Apartment,1912,3,2,nan,1,Not present,Not present,Upholstered
For rent: Apartment Mandarijnstraat in Den Haag,€790 per month,60 m²,nan,Apartment,nan,2,1,1,nan,Present,Not present,Furnished
For rent: House Tilburgseweg-Oost in Eindhoven,"€1,750 per month",108 m²,nan,House,nan,4,3,nan,nan,Not present,Present,Upholstered
For rent: Apartment Henry Dunantweg 12 B in Alphen aan den Rijn,"€1,145 per month",62 m²,168 m³,Apartment,2021,2,1,1,1,Not present,nan,Upholstered
For rent: Apartment van Beuningenlaan 33 in Maarsbergen,€650 per month,35 m²,nan,Apartment,nan,2,1,1,nan,Present,Present (located on the south),Upholstered
For rent: Apartment Wijttenbachstraat in Amsterdam,"€1,750 per month",60 m²,nan,Apartment,nan,2,1,1,nan,Not present,Not present,Furnished
For rent: Room Agniesestraat in Rotterdam,€430 per month,20 m²,nan,Room,nan,1,nan,nan,nan,nan,nan,Upholstered or furnished
For rent: Room Teilingerstraat in Rotterdam,€480 per month,20 m²,nan,Room,nan,1,nan,nan,nan,nan,nan,Upholstered
For rent: Apartment Catharinastraat in Breda,"€1,350 per month",65 m²,150 m³,Apartment,1900,3,1,nan,1,nan,Not present,Upholstered
For rent: Apartment Baronielaan 173 B in Breda,"€1,250 per month",85 m²,nan,Apartment,nan,3,2,1,nan,Not present,Present (located on the south),Upholstered or furnished
For rent: House Groenestraat in Zwolle,"€1,175 per month",85 m²,nan,House,nan,5,4,nan,nan,nan,nan,Upholstered
For rent: Room Zomerstraat 39 in Tilburg,€600 per month,25 m²,nan,Room,nan,1,nan,nan,nan,nan,nan,Upholstered
For rent: Apartment Pleinweg in Rotterdam,"€1,040 per month",50 m²,302 m³,Apartment,1938,1,1,1,1,Not present,nan,nan
For rent: Apartment Pleinweg in Rotterdam,"€1,040 per month",50 m²,302 m³,Apartment,1938,1,1,1,1,Not present,nan,nan
For rent: Apartment Damasstraat in Den Haag,"€1,425 per month",62 m²,180 m³,Apartment,1934,3,3,nan,1,Not present,nan,nan
For rent: Apartment Deensestraat in Rotterdam,"€1,300 per month",65 m²,163 m³,Apartment,1990,3,2,nan,1,Present,Not present,Upholstered
For rent: Apartment Statensingel in Maastricht,"€1,350 per month",70 m²,nan,Apartment,nan,2,1,2,nan,Not present,Not present,Furnished
For rent: Apartment Begoniastraat in Eindhoven,"€1,450 per month",65 m²,nan,Apartment,nan,2,1,1,1,nan,Not present,Upholstered
For rent: Apartment Eric Kropstraat 118 in Rotterdam,"€3,800 per month",255 m²,nan,Apartment,nan,3,2,2,nan,Not present,Not present,Furnished
For rent: House Winschoterdiep in Groningen,"€1,250 per month",45 m²,135 m³,House,2000,2,1,nan,1,nan,Not present,Furnished
For rent: Apartment Hendrik de Keyserstraat in Rotterdam,"€1,250 per month",66 m²,nan,Apartment,nan,2,1,1,nan,Not present,Present,Upholstered
For rent: Apartment Griffeweg in Groningen,"€1,350 per month",105 m²,nan,Apartment,nan,3,2,1,nan,Not present,Not present,Shell
For rent: House Graslinnen in Eindhoven,"€1,875 per month",127 m²,nan,House,2019,5,4,2,1,nan,Present,Upholstered
For rent: Apartment Paramaribostraat 104 H in Amsterdam,"€2,150 per month",78 m²,203 m³,Apartment,1930,3,2,1,1,Not present,"Present (60 m², located on the south-east)",Furnished
For rent: Apartment Nieuwstraat in Maastricht,"€1,950 per month",112 m²,nan,Apartment,nan,4,3,nan,nan,nan,Not present,Upholstered
For rent: Apartment Prins Hendriklaan in Rotterdam,"€2,500 per month",140 m²,425 m³,Apartment,1909,5,4,1,2,Present,nan,Upholstered
For rent: Apartment Ganzenstraat 21 in Amersfoort,"€1,125 per month",72 m²,269 m³,Apartment,1960-1970,1,nan,nan,1,Not present,Not present,Upholstered
For rent: Apartment Arthur van Schendelstraat in Utrecht,"€1,795 per month",79 m²,250 m³,Apartment,1991,4,2,1,1,nan,Not present,Upholstered
For rent: Apartment Kanaalstraat 59 A in Utrecht,"€1,775 per month",70 m²,200 m³,Apartment,1956,3,2,1,3,Not present,nan,Upholstered
For rent: Apartment Josef Israëlslaan 50 in Arnhem,"€1,550 per month",97 m²,240 m³,Apartment,1928,4,3,1,2,Not present,nan,Furnished
For rent: Apartment Gravenstraat in Amsterdam,"€2,000 per month",61 m²,176 m³,Apartment,Before 1906,3,2,nan,1,Not present,Not present,Upholstered
For rent: Apartment Ruslandstraat in Haarlem,"€1,550 per month",85 m²,nan,Apartment,nan,4,2,nan,nan,Present,Not present,Upholstered or furnished
For rent: Apartment Lombokstraat in Utrecht,"€1,495 per month",50 m²,nan,Apartment,nan,2,1,1,1,nan,Present,Furnished
For rent: Apartment Millinxstraat in Rotterdam,"€1,025 per month",44 m²,nan,Apartment,1931,2,1,1,2,Present,Not present,Upholstered
For rent: Apartment Groene Hilledijk in Rotterdam,€995 per month,52 m²,nan,Apartment,1925,2,1,1,1,Present,Not present,Upholstered
For rent: Apartment Poststede in Nieuwegein,"€1,135 per month",51 m²,120 m³,Apartment,nan,2,1,1,1,nan,Present,Upholstered or furnished
For rent: Apartment Domstraat in Utrecht,"€1,295 per month",42 m²,140 m³,Apartment,1850,2,1,1,1,nan,Present,Upholstered
For rent: House Ouddiemerlaan 36 in Diemen,"€3,500 per month",220 m²,600 m³,House,1913,5,4,3,2,Not present,"Present (750 m², located on the south)",Upholstered or furnished
For rent: House Eendenparkweg 45 A - 29 in Ermelo,€880 per month,66 m²,219 m³,House,1993,4,3,1,1,Not present,Present,nan
For rent: Apartment Dorpstraat in Veldhoven,"€1,650 per month",150 m²,nan,Apartment,nan,3,2,1,nan,Present,Not present,Furnished
For rent: Apartment Van Beuningenstraat in Den Haag,"€1,700 per month",82 m²,nan,Apartment,nan,3,2,nan,nan,Present,Not present,Upholstered
For rent: Apartment Rembrandtstraat in Leiden,"€1,250 per month",72 m²,nan,Apartment,1850,3,2,nan,nan,Present,Not present,Furnished
For rent: Apartment Willem Parelstraat 282 in Amsterdam,"€1,995 per month",45 m²,135 m³,Apartment,2022,2,1,1,1,Present,nan,Furnished
For rent: Apartment Brouwersgracht 829 in Amsterdam,"€3,450 per month",125 m²,320 m³,Apartment,1991,4,3,1,1,Present,Present,Upholstered or furnished
For rent: Apartment Cliostraat 55 3V in Amsterdam,"€1,875 per month",45 m²,115 m³,Apartment,1939,2,1,1,1,Present,nan,Furnished
For rent: Apartment Emmalaan 19 B in Amsterdam,"€3,250 per month",90 m²,215 m³,Apartment,1945-1959,3,2,2,1,Present,nan,Furnished
For rent: Apartment Emmalaan 17 C in Amsterdam,"€3,250 per month",100 m²,250 m³,Apartment,1912,3,2,1,1,Present,nan,Furnished
For rent: House Watermunt in Breda,"€1,750 per month",139 m²,nan,House,nan,6,5,nan,nan,nan,Present,Upholstered
For rent: Apartment Timmer Werf in Hellevoetsluis,"€1,995 per month",91 m²,nan,Apartment,2012,3,2,1,1,nan,Present,Furnished
For rent: Apartment Albert Verweylaan 3 1 in Haarlem,"€1,295 per month",75 m²,240 m³,Apartment,1960-1970,4,3,1,1,Present,Not present,Upholstered
For rent: Apartment Kerkstraat in Almere,"€1,025 per month",52 m²,nan,Apartment,1980,2,1,nan,1,nan,Not present,nan
For rent: Apartment Straatweg in Rotterdam,"€1,595 per month",70 m²,150 m³,Apartment,1914,2,1,nan,1,nan,Not present,Furnished
For rent: House Gein-Zuid 12 in Abcoude,"€3,000 per month",190 m²,nan,House,nan,4,3,1,nan,Not present,Present,Upholstered
For rent: House Rijnstraat in Enschede,"€1,095 per month",77 m²,nan,House,nan,4,3,nan,nan,nan,Present (41 m²),Upholstered
For rent: Apartment Jan Smitzlaan in Eindhoven,"€2,000 per month",102 m²,nan,Apartment,nan,3,2,nan,nan,Present,Not present,Furnished
For rent: House Adrienne Solserstraat in Almere,"€1,295 per month",103 m²,nan,House,nan,4,3,nan,1,nan,Present,nan
For rent: Apartment Hoogstraat in Rotterdam,"€1,800 per month",76 m²,nan,Apartment,1953,3,2,1,nan,Present,Not present,Furnished
For rent: Apartment Laplacestraat 56 H in Amsterdam,"€2,195 per month",90 m²,270 m³,Apartment,1906-1930,4,3,nan,1,Not present,Present,nan
For rent: Studio Westerstraat in Enschede,€625 per month,20 m²,nan,Studio,nan,1,1,1,nan,Not present,Not present,Upholstered
For rent: Apartment Daltonstraat in Den Haag,"€1,495 per month",75 m²,nan,Apartment,1910,3,2,1,1,Present,Not present,Furnished
For rent: Apartment Doezastraat in Leiden,"€1,595 per month",50 m²,nan,Apartment,nan,2,1,nan,nan,Not present,Not present,Furnished
For rent: Studio Hengelosestraat in Enschede,€696 per month,26 m²,nan,Studio,nan,1,1,1,nan,Not present,Not present,Upholstered
For rent: Apartment Botersloot 465 in Rotterdam,"€1,995 per month",100 m²,nan,Apartment,nan,3,2,nan,nan,Not present,Not present,Furnished
For rent: House Raaltepad 28 in Almere,"€2,100 per month",126 m²,420 m³,House,1980,5,4,1,3,nan,Present (32 m²),Furnished
For rent: Studio Pluvierstraat in Enschede,€825 per month,30 m²,nan,Studio,nan,1,1,1,nan,Not present,Not present,Upholstered
For rent: Studio Schouwburgring in Tilburg,€704 per month,29 m²,nan,Studio,nan,1,nan,nan,nan,nan,nan,Upholstered
For rent: Studio Oude Ebbingestraat 71 in Groningen,€980 per month,50 m²,nan,Studio,nan,1,1,1,nan,nan,nan,nan
For rent: Apartment Nieuwe Nieuwstraat in Amsterdam,"€2,650 per month",110 m²,291 m³,Apartment,1996,3,2,2,1,nan,Present (25 m²),Furnished
For rent: Apartment Wijenburg 110 in Amsterdam,"€2,150 per month",67 m²,nan,Apartment,nan,4,3,1,nan,Present,Not present,Upholstered
For rent: House Vuurtoren 22 in Amstelveen,"€2,900 per month",139 m²,375 m³,House,1986,4,2,1,3,Not present,"Present (60 m², located on the east)",Upholstered
For rent: Apartment Loevestein in Amsterdam,"€2,150 per month",67 m²,nan,Apartment,nan,4,3,1,nan,Present,Not present,Upholstered
For rent: House Tilburgseweg in Oisterwijk,"€1,875 per month",180 m²,nan,House,nan,6,5,2,nan,Not present,Present,Upholstered or furnished
For rent: House Japurádreef in Utrecht,"€1,700 per month",114 m²,894 m³,House,1960-1970,5,4,nan,2,Not present,Present,nan
