title,location,price,area,no_rooms,interior,year
ApartmentGroteBickersstraat23H,1013KNAmsterdam(Haarlemmerbuurt),"€2,000permonth",62m²,2rooms,Furnished,
HouseSchoolstraat15E,2202HCNoordwijk(KernZee),"€1,800permonth",120m²,5rooms,Upholstered,
ApartmentAmundsenlaan,5623PTEindhoven(OudeToren),"€1,795permonth",90m²,3rooms,Furnished,
ApartmentC.J.Snuifstraat,7511ZKEnschede(DeBothoven),€850permonth,89m²,3rooms,Furnished,
ApartmentAntwerpsestraat,4611AGBergenopZoom(Centrum),€652permonth,36m²,2rooms,Upholstered,
HouseNoorderstraat,9989AAWarffum(Warffum),€895permonth,80m²,3rooms,Furnished,
ApartmentMaashavenweg,3072AZRotterdam(Katendrecht),"€2,495permonth",103m²,4rooms,Furnished,
ApartmentWijnbrugstraat,3011XWRotterdam(Stadsdriehoek),"€2,495permonth",117m²,3rooms,Furnished,
HouseWalhofstraat54,7522BMEnschede(Walhof-Roessingh),"€1,300permonth",97m²,4rooms,,
ApartmentOrchideestraat,3051NLRotterdam(HillegersbergZuid),"€2,500permonth",110m²,5rooms,Upholstered,
ApartmentJonkerstraat,1781RKDenHelder(Visbuurt),€595permonth,44m²,1room,Shell,
ApartmentRapenburgerplein,1011VBAmsterdam(Nieuwmarkt/Lastage),"€1,675permonth",37m²,2rooms,Upholstered,
StudioHoofdstraat,2171BASassenheim(Oranjebuurt),€650permonth,25m²,1room,Shell,
ApartmentCromhoutlaan,2283EDRijswijk(HuisteLande),"€1,325permonth",90m²,5rooms,Upholstered,
ApartmentVelpsestraat,2573SVDenHaag(Oostbroek-Zuid),"€1,195permonth",73m²,4rooms,,1936
RoomHeerderweg142AK3,6224LJMaastricht(Wyckerpoort),€330permonth,15m²,1room,,
ApartmentHeideveldweg1A,6414XJHeerlen(Heksenberg),€763permonth,65m²,3rooms,,1981
ApartmentWaterhof6,"2102LCHeemstede(HeemsteedseDreef,Schildersbuurtenomgeving)","€1,200permonth",46m²,2rooms,,2012
ApartmentEngelenburg,2036RPHaarlem(DeBurgen),"€1,500permonth",105m²,5rooms,Upholstered,
HouseLageNaarderweg3*,1217GMHilversum(Langgewenstbuurt),"€2,750permonth",196m²,8rooms,,
ApartmentCzaarPeterstraat156huis,1018PWAmsterdam(OostelijkeEilanden/Kadijken),"€1,650permonth",37m²,2rooms,Upholstered,
